name,measurement_unit,weight_per_unit,protein_per_100g,calories_per_100g,fat_per_100g,carbohydrates_per_100g,alcohol_percentage
den eelder boeren vanille vla,g,,3.1,96,3.5,13,0
boeren volle yoghurt,ml,,3.5,64,4,4,0
volkorenbeschuit,g,,18.2,398,6.4,63.6,0
green ice tea,ml,,0.5,10,0.5,2.3,0
b’tween zero,g,,6.9,338,8.9,72,0
proactive,g,,0.5,314,35,0.5,0
skyr aardbei,g,,8.5,68,0,7.5,0
leksands crispbread,g,,7.7,338.5,2.3,61.5,0
boeren karnemelk,g,,3.6,33,0.5,3.6,0
boter bewust light lidl,g,,0,260,28,1,0
authentic greek yoghurt 10%,g,,6,125,10,2.9,0
bonne maman abrikozen confiture,g,,0.5,241,0.1,59,0
heinz sandwich spread komkommer,g,,1.5,165,12,12,0
perzik yoghurt,g,,3.6,97,4,11,0
knoflooksaus,ml,,0.8,290,23,19.1,0
gezouten pindas,g,,26,609,50,9.6,0
aardbeien zero,g,,0.4,53,0.2,17,0
tonic classic 0% suiker,ml,,0,1,0,0,0
gezeefde tomaat,g,,1.5,36,0.1,7.3,0
miel,g,,0.5,321,0.1,79.3,0
bieslook,g,,7.4,146,10,5.1,0
vifit goedemorgen!,ml,,3.4,61,0.8,8.5,0
balans naturel 15+,g,,17,125,5,3,0
natuurzuivere streekhoning uit holland,g,,0.4,325,0,80.5,0
tonijn in zonnebloemolie,g,,25.4,139,4.1,0,0
smeerbaar,g,,0.5,531,59,0.5,0
volkoren havermout fijne vlokken,g,,14,375,7,59,0
trésor chocolat au lait,g,,7,448,15,71,0
houdbare volle melk,ml,,3.2,64,3.6,4.7,0
breaker aardbij,g,,3.1,90,3,12,0
halfvolle milde yoghurt,ml,,5,51,1.6,4.2,0
lays max paprika,g,,6.7,515,31,49,0
this is food,ml,,6,100,4.9,7.2,0
boterhamworst,g,,8.2,156,11,5.2,0
philadelphia plantaardig,g,,3.3,218,21,2.2,0
pasta sauce,g,,1.4,67,4.1,5.4,0
protein peanut & chocolate,g,,25.6,489,28.3,27.5,0
seriously good mayonaise,g,,0.8,644,70,3,0
sweet chilli sauce,g,,0.1,178,0,44,0
kokosmilch,g,,1.9,183,18,2.7,0
rietsuiker,g,,0,400,0,100,0
groentespread gegrilde paprika bruine boon,g,,3.5,166,10,14,0
mango et guanbanana,g,,0.2,47,0,11,0
griekse stijl yoghurt 2% vet,g,,6,52,2,2.5,0
mozzarella mini,g,,19,233,17,1,0
knackerbrod,g,,13.3,386.7,6,64,0
huile d'olive vierge extra espagnole,ml,,0,828,92,0,0
naturel kroepoek,g,,1.8,493,25,64,0
goudband,ml,,7.1,145,8.5,9.9,0
barrette proteiche al caramello salato,g,,26,495,29.5,26.1,0
bosvruchten met zure kersen diepvries,g,,0.9,60.8,0.7,10.6,0
framboos siroop,g,,0,10,0,0.6,0
heineke,g,,0,42,0,3.2,6.3
0.0,ml,,0,21,0,4.8,0
kersen zero,g,,0.5,54,0.2,15,0
coconut classic,g,,0.8,97,8.1,4.9,0
pinda amandel cashew pasta,g,,25,605,48,14,0
hummus pikant,g,,5.5,291,24,11,0
tyrrell's sweet chilli & red pepper,g,,6.3,468,25,51,0
royal mix,g,,20.9,674,61.8,4.2,0
bosvruchten,g,,0.7,124,0.5,28,0
premium crunchy muesli nuts,g,,11,475,21.7,55.3,0
sadinillas picantes en tomate,g,,16.8,148,8.6,0.4,0
stokbrood wit,g,,8.2,263,0.9,54,0
le sfoglie,g,,9,425,11.5,68.7,0
chocomel 0% toegevoegde suiker,ml,,3.7,53,1.7,5.3,0
passierte tomaten,g,,1.6,36,0.5,5.1,0
creamy yogurt strawberry,g,,3,108,4,15,0
tonijnstukken  in zonnebloemolie,g,,23.5,180,9.5,0.1,0
lait,ml,,3.1,45,1.5,4.9,0
vissticks,g,,12,216,9.1,21,0
druiven (pitloos),g,,0.5,76,0.4,17,0
hipro hazelnoot,g,,10.2,76,0.9,6.3,0
krokante muesli chocolade,g,,10,456,18,57,0
fanta zero sugar,g,,0,3.2,0,0.5,0
kokosgurt,g,,0.6,81,6.2,4.9,0
samuraisaus,ml,,0.8,597,63,5.1,0
basilica saus,g,,1.5,72,4.4,6.1,0
ain saiss eau minerale naturelle,ml,,0,0,0,0,0
de l'huile,ml,,0,823,91,0,0
groentespread,g,,2.1,163,13,12,0
hummus zongedroogde tomaat,g,,6.7,306,26,6.7,0
lichte crackers volkoren,g,,12,416,10,62,0
zwagerman vleeswaren- beter leven van het mes kip-,g,,18,129,5,2.7,0
barista coconut,ml,,1.5,33,1.4,3.3,0
paturain,g,,10,132,8,5,0
extra virgie olijf olie,g,,0,821,91.3,0,0
gluten free choco chip cookies,g,,4.3,523,28,62,0
tomaten gepeld,g,,1.2,25,0.3,4.3,0
intense mint gum,g,,0,163,0,68,0
"boisson au soja, sucré",ml,,3,40,1.7,3.1,0
yoghurt griekse stijl 10% vet,g,,3.3,120,10,4.2,0
walnoten,g,,16,682,65,5.3,0
gerookte kipfilet,g,,20,130.0,3.9,3.5,0
tomate frito,g,,1.2,71,3.6,8.4,0
vier noten crunchy muesli,g,,10.9,446,18.3,53.3,0
kipstuckjes,g,,20,130,3.4,1.8,0
pesto alla genovese,g,,3.8,374,38,3.5,0
bio-haferfrink ohne zuckerzusatz,ml,,0.4,37,1.2,5.6,0
volkoren woknoedels,g,,15,355,3,61,0
brot,g,,2.0,33.1,1.0,0.3,0
krokante notenmix muesli,g,,12,428,14,57,0
riche en protéines saveur fraise,ml,,10,61,0.1,5,0
yoghurt griekse stijl 0.01,g,,5.5,42,0.1,4.2,0
botergoud bakken en braden roomboter,g,,0.5,733,81,1,0
kéfir saveur mangue,g,,3.1,72.9,3.1,8.1,0
